faultNumber,statistic,n_runs,detection_ratio,far_mean,far_std,far_ci_low,far_ci_high,fdr_mean,fdr_std,fdr_ci_low,fdr_ci_high,delay_samples_mean,delay_samples_std,delay_samples_ci_low,delay_samples_ci_high,delay_minutes_mean,delay_minutes_std,delay_minutes_ci_low,delay_minutes_ci_high
0,T2,1,0.0,0.014583333333333334,,,,,,,,,,,,,,,
1,T2,1,1.0,0.0,,,,0.99375,,,,6.0,,,,18.0,,,
2,T2,1,1.0,0.00625,,,,0.9825,,,,14.0,,,,42.0,,,
3,T2,1,1.0,0.00625,,,,0.045,,,,42.0,,,,126.0,,,
4,T2,1,1.0,0.0125,,,,0.42,,,,63.0,,,,189.0,,,
5,T2,1,1.0,0.0125,,,,0.28375,,,,0.0,,,,0.0,,,
6,T2,1,1.0,0.0,,,,0.99375,,,,5.0,,,,15.0,,,
7,T2,1,1.0,0.0,,,,1.0,,,,0.0,,,,0.0,,,
8,T2,1,1.0,0.0,,,,0.97375,,,,22.0,,,,66.0,,,
9,T2,1,1.0,0.05,,,,0.03125,,,,5.0,,,,15.0,,,
10,T2,1,1.0,0.0,,,,0.46375,,,,22.0,,,,66.0,,,
11,T2,1,1.0,0.01875,,,,0.52625,,,,5.0,,,,15.0,,,
12,T2,1,1.0,0.00625,,,,0.9875,,,,2.0,,,,6.0,,,
13,T2,1,1.0,0.00625,,,,0.95,,,,38.0,,,,114.0,,,
14,T2,1,1.0,0.00625,,,,0.99625,,,,0.0,,,,0.0,,,
15,T2,1,1.0,0.0,,,,0.07875,,,,577.0,,,,1731.0,,,
16,T2,1,1.0,0.1375,,,,0.28125,,,,196.0,,,,588.0,,,
17,T2,1,1.0,0.0125,,,,0.8075,,,,28.0,,,,84.0,,,
18,T2,1,1.0,0.0,,,,0.8925,,,,88.0,,,,264.0,,,
19,T2,1,1.0,0.00625,,,,0.07125,,,,76.0,,,,228.0,,,
20,T2,1,1.0,0.0,,,,0.44875,,,,84.0,,,,252.0,,,
21,T2,1,1.0,0.0125,,,,0.39625,,,,284.0,,,,852.0,,,
